"IdConglomerado","X_C3","Y_C3","NoIndividuo_C3","DiametroNormal_C3","AlturaTotal_C3","AreaBasal_C3","NombreComun_C3","Familia_APG_C3","Genero_APG_C3","Especie_APG_C3","Clave_ESP","N_Cientifico"
61720,-89.020083,18.727639,74,12.8,7.4,0.012868,"SACCHECHEN","Apocynaceae","Cameraria","latifolia","Camlat","Cameraria latifolia"
63244,-88.715361,18.428194,16,20.9,4.3,0.034307,"guano","Arecaceae","Sabal","yapa","Sabyap","Sabal yapa"
63244,-88.715361,18.428194,6,21.4,13.2,0.035968,"chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
63244,-88.715361,18.428194,19,11.9,12.8,0.011122,"uvero","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
63244,-88.715361,18.428194,26,31.1,14.4,0.075965,"chakah","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
63244,-88.715361,18.428194,5,17.9,11.4,0.025165,"guano","Arecaceae","Sabal","yapa","Sabyap","Sabal yapa"
63244,-88.715361,18.428194,1,13.8,11.3,0.014957,"laurelillo","Lauraceae","Nectandra","salicifolia","Necsal","Nectandra salicifolia"
63244,-88.715361,18.428194,12,18.1,12.3,0.02573,"chakah","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
63244,-88.715361,18.428194,21,25.4,12.6,0.050671,"chakah blanco","Araliaceae","Dendropanax","arboreus","Denarb","Dendropanax arboreus"
63244,-88.715361,18.428194,11,10.3,9.6,0.008332,"croton","Euphorbiaceae","Croton","draco","Crodra","Croton draco"
63244,-88.715361,18.428194,25,20.5,11.2,0.033006,"chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
63244,-88.715361,18.428194,31,19.2,13.2,0.028953,"chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
63244,-88.715361,18.428194,36,29.1,10.8,0.066508,"chakah","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
63244,-88.715361,18.428194,37,19.1,12.3,0.028652,"chakah","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
63244,-88.715361,18.428194,6,12.4,10.3,0.012076,"chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
63244,-88.715361,18.428194,7,11,10.4,0.009503,"cataloch","Fabaceae","Swartzia","cubensis","Swacub","Swartzia cubensis"
62735,-89.08425,18.551528,11,13.8,13.9,0.014957,"ZAPOTILLO","Sapotaceae","Pouteria","reticulata","Pouret","Pouteria reticulata"
62735,-89.08425,18.551528,2,12.5,7.8,0.012272,"GUANO BOTAN","Arecaceae","Sabal","yapa","Sabyap","Sabal yapa"
62735,-89.08425,18.551528,11,20.4,12.6,0.032685,"CANISTE","Sapotaceae","Pouteria","campechiana","Poucam","Pouteria campechiana"
62735,-89.08425,18.551528,11,9.5,7.2,0.007088,"CANISTE","Sapotaceae","Pouteria","campechiana","Poucam","Pouteria campechiana"
62735,-89.08425,18.551528,26,14,11.7,0.015394,"ZAPOTILLO","Sapotaceae","Pouteria","reticulata","Pouret","Pouteria reticulata"
62735,-89.08425,18.551528,31,13.5,10.1,0.014314,"COPAL","Burseraceae","Protium","copal","Procop","Protium copal"
62735,-89.08425,18.551528,8,14.3,4.9,0.016061,"COPAL","Burseraceae","Protium","copal","Procop","Protium copal"
62735,-89.08425,18.551528,23,9.4,7.8,0.00694,"ZAPOTILLO","Sapotaceae","Pouteria","reticulata","Pouret","Pouteria reticulata"
59938,-88.895083,19.035139,1,14.1,12.5,0.015615,"Yaiti","Euphorbiaceae","Gymnanthes","lucida","Gymluc","Gymnanthes lucida"
59938,-88.895083,19.035139,20,13.8,5.5,0.014957,"Perezcutz","Euphorbiaceae","Croton","reflexifolius","Croref","Croton reflexifolius"
59938,-88.895083,19.035139,2,10.2,10.2,0.008171,"Yaiti","Euphorbiaceae","Gymnanthes","lucida","Gymluc","Gymnanthes lucida"
59938,-88.895083,19.035139,3,16.1,12.8,0.020358,"Tapzi","Nyctaginaceae","Neea","psychotrioides","Neepsy","Neea psychotrioides"
59938,-88.895083,19.035139,39,8,8.2,0.005027,"Chomolche","Fabaceae","Erythrina","standleyana","Erysta","Erythrina standleyana"
60214,-87.857222,18.894722,21,8.8,6.7,0.006082,"Chaca rojo","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
60214,-87.857222,18.894722,28,17.4,8.2,0.023779,"Chechen negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
60214,-87.857222,18.894722,5,9.1,7.1,0.006504,"Chechen negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
60214,-87.857222,18.894722,1,8.6,7.3,0.005809,"Chaca rojo","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
60214,-87.857222,18.894722,3,9.4,8.1,0.00694,"Chaca negro","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
